"OrderID","CreationDate","TotalDue","Status","CustomerID","SalespersonID"
1000,"2016-05-14 00:00:00",118.22,"paid",413,130
1001,"2016-07-31 00:00:00",211.22,"returned",128,102
1002,"2016-07-09 00:00:00",139.81,"past due",791,115
1003,"2016-04-04 00:00:00",323.71,"paid",974,139
1004,"2016-02-16 00:00:00",214.02,"paid",866,102
1005,"2016-07-25 00:00:00",7.38,"paid",798,118
1006,"2016-07-16 00:00:00",21.48,"paid",606,133
1007,"2015-06-30 00:00:00",157.13,"paid",265,111
1008,"2016-06-19 00:00:00",60.86,"paid",831,146
1009,"2016-07-01 00:00:00",276.78,"cancelled",789,108
1010,"2015-07-15 00:00:00",108.69,"paid",653,121
1011,"2016-04-12 00:00:00",426.61,"paid",811,108
1012,"2015-08-26 00:00:00",220.55,"paid",751,118
1013,"2015-08-15 00:00:00",168.42,"past due",1093,150
1014,"2015-11-22 00:00:00",393.13,"past due",181,144
1015,"2016-01-06 00:00:00",36.9,"paid",661,136
1016,"2015-11-26 00:00:00",122.24,"due",1080,150
1017,"2015-10-20 00:00:00",277.58,"paid",552,140
1018,"2015-10-03 00:00:00",105.61,"paid",292,114
1019,"2015-09-24 00:00:00",238.45,"paid",486,117
1020,"2015-06-24 00:00:00",221.4,"paid",925,118
1021,"2015-06-25 00:00:00",98.45,"paid",110,141
1022,"2015-08-21 00:00:00",57.28,"paid",971,135
1023,"2016-04-11 00:00:00",143.91,"paid",561,120
1024,"2015-11-12 00:00:00",97.51,"paid",978,122
1025,"2016-02-27 00:00:00",141.41,"paid",336,103
1026,"2016-05-18 00:00:00",136.53,"past due",794,122
1027,"2015-09-11 00:00:00",112.38,"paid",126,131
1028,"2015-10-20 00:00:00",145.18,"paid",371,143
1029,"2016-05-27 00:00:00",48.33,"paid",199,144
1030,"2016-07-19 00:00:00",60.86,"paid",561,138
1031,"2015-08-06 00:00:00",26.85,"paid",859,125
1032,"2016-02-01 00:00:00",153.94,"cancelled",469,114
1033,"2015-07-29 00:00:00",276.01,"paid",914,149
1034,"2015-07-12 00:00:00",62.65,"paid",586,149
1035,"2015-09-10 00:00:00",404.25,"due",717,121
1036,"2015-06-30 00:00:00",232.47,"due",136,109
1037,"2016-07-30 00:00:00",34.01,"returned",334,142
1038,"2016-02-26 00:00:00",227.46,"paid",699,141
1039,"2015-06-23 00:00:00",283.53,"paid",1065,126
1040,"2015-11-09 00:00:00",32.22,"paid",228,125
1041,"2015-12-04 00:00:00",41.17,"paid",675,113
1042,"2015-07-09 00:00:00",196.9,"paid",833,148
1043,"2016-02-28 00:00:00",30.43,"paid",783,120
1044,"2015-10-09 00:00:00",13.95,"past due",652,143
1045,"2016-07-05 00:00:00",290.63,"past due",1039,146
1046,"2015-11-22 00:00:00",373.99,"due",982,129
1047,"2016-06-30 00:00:00",12.53,"cancelled",977,100
1048,"2016-02-12 00:00:00",169.74,"paid",929,147
1049,"2016-04-17 00:00:00",25.06,"paid",734,133
